BOWLING,O,R,W,M,ECON
Ben Dwarshuis,4,37,3,0,9.25
Jackson Bird,3,14,2,0,4.67
Sean Abbott,3,33,2,0,11.00
Daniel Christian,4,25,2,0,6.25
Steve O'Keefe,4,26,0,0,6.50
Carlos Brathwaite,2,24,0,0,12.00
