BATSMEN,R,SR,B,4s,6s
Daniel Christian,49,213,23,5,2
James Vince,46,143,32,3,1
Moises Henriques,38,131,29,3,0
Jordan Silk,35,140,25,3,0
Daniel Hughes,3,100,3,0,0
Carlos Brathwaite,2,40,5,0,0
Josh Philippe,1,50,2,0,0
