BOWLING,O,R,W,M,ECON
Ben Dwarshuis,4,27,3,1,6.75
Sean Abbott,4,28,2,0,7.00
Carlos Brathwaite,4,46,1,0,11.50
Jackson Bird,1,12,0,0,12.00
Steve O'Keefe,4,21,0,0,5.25
Jake Ball,3,38,0,0,12.67
