BOWLING,O,R,W,M,ECON
Ben Dwarshuis,4,40,2,0,10.00
Jackson Bird,4,33,1,0,8.25
Sean Abbott,3,38,1,0,12.67
Steve O'Keefe,4,20,1,0,5.00
Carlos Brathwaite,4,25,1,0,6.25
Daniel Christian,1,9,0,0,9.00
